"Velocity: Magnitude (m/s)","X (m)","Y (m)","Z (m)"
0.00070174964267342,0.0076425,0.138202,0
0.000284695809113299,0.0025,0.1499585,0
0.000186394870415522,0.138202,0.0025,0
0.000462626868572324,0.126912,0.0076425,0
0.000639607567359994,0.116083,0.013076,0
0.000753904472498039,0.105709,0.0188135,0
0.000835033435109795,0.0957825,0.0248685,0
0.000900017586226915,0.086295,0.031254,0
0.000954825629859931,0.0772365,0.037983,0
0.000997919343848094,0.068596,0.0450685,0
0.00102502487702026,0.0603625,0.052524,0
0.00103306437462301,0.052524,0.0603625,0
0.00102192002889351,0.0450685,0.068596,0
0.000993784902244766,0.037983,0.0772365,0
0.00095211157259778,0.031254,0.086295,0
0.000898119989615907,0.0248685,0.0957825,0
0.000824338741194119,0.0188135,0.105709,0
0.000710985682165936,0.013076,0.116083,0
0.000523066009748356,0.0076425,0.126912,0
0.000214657209305544,0.0025,0.138202,0
0.000136957790627277,0.126912,0.0025,0
0.000334812027143749,0.116083,0.0076425,0
0.000456782549567082,0.105709,0.013076,0
0.000536363535413241,0.0957825,0.0188135,0
0.000596695723732162,0.086295,0.0248685,0
0.000648409330900287,0.0772365,0.031254,0
0.000691666811215235,0.068596,0.037983,0
0.000722448520974098,0.0603625,0.0450685,0
0.000737006597943999,0.052524,0.052524,0
0.000733667046130995,0.0450685,0.0603625,0
0.000713270986707407,0.037983,0.068596,0
0.000679344841100438,0.031254,0.0772365,0
0.000635265594999694,0.0248685,0.086295,0
0.000580095794671955,0.0188135,0.0957825,0
0.000501669186217875,0.013076,0.105709,0
0.000373343549490496,0.0076425,0.116083,0
0.000155187523390616,0.0025,0.126912,0
9.4387630469924e-05,0.116083,0.0025,0
0.000226866675484124,0.105709,0.0076425,0
0.000306030380077576,0.0957825,0.013076,0
0.000359810195209798,0.086295,0.0188135,0
0.000405622286743764,0.0772365,0.0248685,0
0.000446048322561519,0.068596,0.031254,0
0.000477988824116001,0.0603625,0.037983,0
0.000497263815546379,0.052524,0.0450685,0
0.000500848327969514,0.0450685,0.052524,0
0.000488928453828027,0.037983,0.0603625,0
0.000463357558312886,0.031254,0.068596,0
0.000428002890845155,0.0248685,0.0772365,0
0.000385678296807696,0.0188135,0.086295,0
0.000332854885635186,0.013076,0.0957825,0
0.000250173215808011,0.0076425,0.105709,0
0.000105528894809523,0.0025,0.116083,0
5.85384229314089e-05,0.105709,0.0025,0
0.000138632685837693,0.0957825,0.0076425,0
0.000185244685418675,0.086295,0.013076,0
0.000222415571453045,0.0772365,0.0188135,0
0.000256995069682052,0.068596,0.0248685,0
0.00028678181191608,0.0603625,0.031254,0
0.000307329631864009,0.052524,0.037983,0
0.000315981822201262,0.0450685,0.0450685,0
0.000311999527178078,0.037983,0.052524,0
0.000295576603102203,0.031254,0.0603625,0
0.000269098865052968,0.0248685,0.068596,0
0.000236712626685108,0.0188135,0.0772365,0
0.000200245806490721,0.013076,0.086295,0
0.000151752710827495,0.0076425,0.0957825,0
6.48275796291211e-05,0.0025,0.105709,0
2.9433278933828e-05,0.0957825,0.0025,0
6.85783476088334e-05,0.086295,0.0076425,0
9.56062796142208e-05,0.0772365,0.013076,0
0.000121951320425352,0.068596,0.0188135,0
0.00014656760370787,0.0603625,0.0248685,0
0.000164254360666273,0.052524,0.031254,0
0.000173923253393209,0.0450685,0.037983,0
0.000175163126964543,0.037983,0.0450685,0
0.000168160396765167,0.031254,0.052524,0
0.000152358471944641,0.0248685,0.0603625,0
0.000128971127221768,0.0188135,0.068596,0
0.000103078111890819,0.013076,0.0772365,0
7.52092190967497e-05,0.0076425,0.086295,0
3.25605132342189e-05,0.0025,0.0957825,0
6.64885284648164e-06,0.086295,0.0025,0
2.31862979544395e-05,0.0772365,0.0076425,0
4.42896736564747e-05,0.068596,0.013076,0
6.29138363183422e-05,0.0603625,0.0188135,0
7.19646858215779e-05,0.052524,0.0248685,0
7.31538591499095e-05,0.0450685,0.031254,0
7.26113863336511e-05,0.037983,0.037983,0
7.43608844182723e-05,0.031254,0.0450685,0
7.39251317706333e-05,0.0248685,0.052524,0
6.51155174470159e-05,0.0188135,0.0603625,0
4.64529030661995e-05,0.013076,0.068596,0
2.53138499526885e-05,0.0076425,0.0772365,0
7.78814348795709e-06,0.0025,0.086295,0
1.15201423124368e-05,0.0772365,0.0025,0
3.32369597688903e-05,0.068596,0.0076425,0
5.21102569566309e-05,0.0603625,0.013076,0
5.57712118861542e-05,0.052524,0.0188135,0
4.25860285223512e-05,0.0450685,0.0248685,0
1.60913723934751e-05,0.037983,0.031254,0
1.56673559910501e-05,0.031254,0.037983,0
4.22545179088475e-05,0.0248685,0.0450685,0
5.55691191328053e-05,0.0188135,0.052524,0
5.19601195915774e-05,0.013076,0.0603625,0
1.13946171090943e-05,0.0025,0.0772365,0
3.30073120391179e-05,0.0076425,0.068596,0
2.35050670009677e-05,0.068596,0.0025,0
5.56262061071415e-05,0.0603625,0.0076425,0
7.26173475066476e-05,0.052524,0.013076,0
7.12584882559707e-05,0.0450685,0.0188135,0
5.4885015680206e-05,0.037983,0.0248685,0
4.3283659355427e-05,0.031254,0.031254,0
5.4580936720864e-05,0.0248685,0.037983,0
7.11153607281083e-05,0.0188135,0.0450685,0
7.28018408090309e-05,0.013076,0.052524,0
5.6022656776576e-05,0.0076425,0.0603625,0
2.38620896450939e-05,0.0025,0.068596,0
3.07188046960767e-05,0.0603625,0.0025,0
6.82919842388586e-05,0.052524,0.0076425,0
8.4683809872249e-05,0.0450685,0.013076,0
8.03059192374522e-05,0.037983,0.0188135,0
6.9242919770382e-05,0.031254,0.0248685,0
6.9210664350538e-05,0.0248685,0.031254,0
8.03787801182651e-05,0.0188135,0.037983,0
8.50643921406879e-05,0.013076,0.0450685,0
6.8938764732184e-05,0.0076425,0.052524,0
3.12236409231969e-05,0.0025,0.0603625,0
3.36524357475685e-05,0.052524,0.0025,0
7.21700486298948e-05,0.0450685,0.0076425,0
8.44740199752087e-05,0.037983,0.013076,0
8.01661471724047e-05,0.031254,0.0188135,0
7.58629725697397e-05,0.0248685,0.0248685,0
8.02816640708916e-05,0.0188135,0.031254,0
8.48340009385035e-05,0.013076,0.037983,0
7.27591516793042e-05,0.0076425,0.0450685,0
3.41236331907842e-05,0.0025,0.052524,0
3.34642928424537e-05,0.0450685,0.0025,0
6.75304087929496e-05,0.037983,0.0076425,0
7.61851690672031e-05,0.031254,0.013076,0
7.35052995584948e-05,0.0248685,0.0188135,0
7.35685752011842e-05,0.0188135,0.0248685,0
7.64312903782127e-05,0.013076,0.031254,0
6.79553282968422e-05,0.0076425,0.037983,0
3.38203665817912e-05,0.0025,0.0450685,0
3.01137623576727e-05,0.037983,0.0025,0
